name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Golden Freindship,Cocktail Classics,Amaretto,Sweet Vermouth,Light Rum,NA,NA,NA
Golden Frappe,Cocktail Classics,Orange Juice,Lemon Juice,Sugar,Port,NA,NA
Glass Tower,Vodka,Vodka,Peach schnapps,White rum,Triple Sec,Sambuca,"Lime soda, orange wheel, maraschino cherry"
Golden Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Gin,Egg Yolk,NA,NA
Gloom Lifter,Cocktail Classics,Blended whiskey,Brandy,Juice of a Lemon,Raspberry Syrup,Sugar,Egg White
Glogg,Cocktail Classics,"Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira)",Dried Orange Peel,Cinnamon sticks,NA,cloves,NA
Georgia Peach,Vodka,Vodka,Peach schnapps,Grenadine,NA,NA,NA
Georgia Mule,Vodka,"Peach slice, skinned",Vodka,Fresh lemon juice,Peach bitters,Ginger beer,Peach slice
Gentle Ben,Vodka,Vodka,Gin,Blanco tequila,NA,"Orange wheel, maraschino cherry",NA
East India Cocktail No. 1,Brandy,Brandy,Jamaica Rum,Triple Sec,Pineapple Juice,Angostura Bitters,"Lemon twist, maraschino cherry"
General Harrison's Eggnog,Cocktail Classics,Whole Egg,Powdered Sugar,Red wine,NA,NA,NA
Gables Collins,Vodka,Vodka,Creme de noyaux,Fresh lemon juice,Pineapple Juice,Soda water,"Lemon wheel, pineapple chunk"
Frozen Brandy and Rum,Cocktail Classics,Brandy,Light Rum,Lemon Juice,Egg Yolk,Powdered Sugar,NA
Frozen Apple,Cocktail Classics,Applejack,Lime Juice,Sugar,Egg White,NA,NA
Frisky Witch,Vodka,Vodka,Sambuca,Black licorice stick,NA,NA,NA
Froth Blower Cocktail,Cocktail Classics,Egg White,Gin,Grenadine,NA,NA,NA
French Martini,Vodka,Vodka,Black raspberry liqueur,Pineapple Juice,NA,NA,NA
Flatiron Martini,Vodka,Splash triple sec,Orange-flavored vodka,Lillet Blanc,NA,NA,NA
Favourite Cocktail,Cocktail Classics,Apricot-Flavored Brandy,Dry Vermouth,Lemon Juice,Gin,NA,NA
Electric Jam,Vodka,Vodka,Blue curacao,Simple Syrup,Fresh lemon juice,Lime soda,NA
Fairy Belle Cocktail,Cocktail Classics,Egg White,Grenadine,Apricot-Flavored Brandy,Gin,NA,NA
Duke Cocktail,Cocktail Classics,Triple Sec,Orange Juice,Lemon Juice,Maraschino,Whole Egg,Chilled Champagne
Dreamy Dorini Smoking Martini,Vodka,Vodka,"Smoky Scotch, such as Laphroaig",Pastis,NA,NA,NA
Dubonnet Highball,Cocktail Classics,Dubonnet,ginger ale,carbonated water,NA,NA,NA
Dubonnet Fizz,Cocktail Classics,Juice of Orange,Juice of a Lemon,cherry-flavored brandy,Dubonnet,NA,NA
Dubonnet Cocktail,Cocktail Classics,Dubonnet,Gin,Orange Bitters (if desired),NA,NA,NA
Doctor Cook,Cocktail Classics,Gin,Lemon Juice,Maraschino,Egg White,NA,NA
Desert Sunrise,Vodka,Vodka,Fresh orange juice,Pineapple Juice,Grenadine,NA,NA
Dillatini,Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Devil's Cocktail,Cocktail Classics,Lemon Juice,Port,Dry Vermouth,NA,NA,NA
Derby Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Whole Egg,Scotch,Triple Sec,NA
Cubeltini,Vodka,Cucumber slices,Fresh mint leaves,Simple Syrup,Vodka,Fresh Lime Juice,Fresh mint sprig
Crocodile Cooler,Vodka,Citrus-flavored vodka,Melon liqueur,Triple Sec,Simple Syrup,Fresh lemon juice,"Lime soda, pineapple wedge, maraschino cherry or lime wheel"
Cosmopolitan,Vodka,Vodka,Fresh Lime Juice,Triple Sec,Cranberry Juice,Lime wheel,NA
Dream Cocktail,Brandy,Brandy,Triple Sec,Anisette,NA,NA,NA
Jean Lafitte Cocktail,Cocktail Classics,Gin,Triple Sec,Anis,Powdered Sugar,Egg Yolk,NA
Japanese Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Blended whiskey,Port,Egg White,NA
Citronella Cooler,Vodka,Citrus-flavored vodka,Fresh Lime Juice,Lemonade,Cranberry Juice,Lime wedge,NA
North Pole Cocktail,Cocktail Classics,Egg White,Lemon Juice,Maraschino,Gin,NA,NA
The Cinquecento,Vodka,Bison grass vodka (Zubrowka),Benedictine,Campari,Fresh grapefruit juice,Angostura Bitters,Grapefruit twist
New Orleans Gin Fizz,Cocktail Classics,Juice of a Lemon,Juice of a Lime,Powdered Sugar,Egg White,Gin,"Light cream, 1/2 oz"
Napoleon,Cocktail Classics,Gin,Curacao,Dubonnet,NA,NA,NA
Zombie,Rum - Daiquiris,Gold rum,151-Proof Rum,Light Rum,"each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",Demerara Syrup,Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig
Kiss the Boys Goodbye,Cocktail Classics,Sloe gin,Brandy,Egg White,Juice of a Lemon,NA,NA
X.Y.Z. Cocktail,Rum - Daiquiris,Light Rum,Triple Sec,Fresh lemon juice,NA,NA,NA
K.G.B. Cocktail,Cocktail Classics,Kummel,Gin,Apricot-Flavored Brandy,Lemon Juice,NA,NA
Eye-Opener,Cocktail Classics,Egg Yolk,Powdered Sugar,Anis,Triple Sec,White creme de cacao,Light Rum
Wiki Waki Woo,Rum - Daiquiris,Light Rum,151-Proof Rum,"each Vodka, tequila blanco, triple sec",Amaretto,"each Fresh orange juice, pineapple juice, cranberry juice","Orange wheel, maraschino cherry"
Elk's Own Cocktail,Cocktail Classics,Egg White,Blended whiskey,Port,Juice of a Lemon,Powdered Sugar,NA
Eggnog Supreme,Cocktail Classics,Medium Eggs,Sugar,Whole milk,"Heavy Cream, Whipped",Cognac,Powdered Nutmeg
Egg Sour,Cocktail Classics,Whole Egg,Powdered Sugar,Juice of a Lemon,Brandy,Triple Sec,NA
White Lion Cocktail,Cocktail Classics,Light Rum,Fresh lemon juice,Simple Syrup,Grenadine,Angostura Bitters,NA
White Lily Cocktail,Rum - Daiquiris,Light Rum,Triple Sec,Gin,Anisette,NA,NA
Ice Cream Flip,Rum - Daiquiris,Whole Egg,Maraschino,Triple Sec,NA,NA,NA
Outrigger,Cocktail Classics,Peach-flavored brandy,Lime Vodka,Pineapple Juice,NA,NA,NA
Opera Cocktail,Cocktail Classics,Maraschino,Dubonnet,Gin,NA,NA,NA
Virginia Dare,Rum - Daiquiris,Ripe pear,Dark rum,Benedictine,Angostura Bitters,NA,NA
Opening Cocktail,Cocktail Classics,Grenadine,Sweet Vermouth,Blended whiskey,NA,NA,NA
Queen Bee,Cocktail Classics,Lime Vodka,Coffee-flavored brandy,Cream sherry,NA,NA,NA
Van Vleet,Rum - Daiquiris,Light Rum,Maple Syrup,Fresh lemon juice,NA,NA,NA
Zaza Cocktail,Cocktail Classics,Gin,Dubonnet,NA,NA,NA,NA
The Vacation Cocktail,Rum - Daiquiris,Peeled and chopped fresh ginger,Fresh Lime Juice,"each Simple Syrup, light rum, dark rum",Mango juice,"each Cranberry Juice, orange juice, spiced rum",Mango slice
Dolores,Brandy,"Brandy, preferably Spanish",Cherry liqueur,White or dark creme de cacao,Egg White,Freshly grated nutmeg,NA
Vesuvio,Cocktail Classics,Light Rum,Juice of a Lemon,Powdered Sugar,Egg White,Sweet Vermouth,NA
Urban Anxiety,Rum,Cachaca,Sweet Vermouth,Cynar,Angostura Bitters,"Grapefruit twist, flamed",NA
Virgin,Cocktail Classics,Gin,White creme de menthe,Forbidden Fruit,NA,NA,NA
Tropica Cocktail,Rum - Daiquiris,Light Rum,Pineapple Juice,Fresh grapefruit juice,Grenadine,Pineapple wedge,NA
Vermouth Cassis,Cocktail Classics,Creme de Cassis,Dry Vermouth,NA,NA,NA,NA
Verboten,Cocktail Classics,Gin,Forbidden Fruit,Orange Juice,Lemon Juice,NA,NA
Velvet Hammer No. 2,Cocktail Classics,Strega,White creme de cacao,Light cream,NA,NA,NA
Velvet Hammer No. 1,Cocktail Classics,Vodka,Creme de Cacao,Light cream,NA,NA,NA
Ulanda Cocktail,Cocktail Classics,Gin,Triple Sec,Anis,NA,NA,NA
Torridora Cocktail,Rum - Daiquiris,Light Rum,Coffee-flavored brandy,half-and-half,151-Proof Rum,NA,NA
Boston Sour,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Blended whiskey,Egg White,NA,NA
Three Miller Cocktail,Rum - Daiquiris,Fresh cherry tomatoes,Dark rum,Fresh Lime Juice,Simple Syrup,Angostura Bitters,NA
Bird-of-Paradise Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg White,Grenadine,Gin,NA
Biffy Cocktail,Cocktail Classics,Juice of a Lemon,Swedish Punch,Gin,NA,NA,NA
Between-The-Sheets Cocktail,Cocktail Classics,Juice of a Lemon,Brandy,Triple Sec,Light Rum,NA,NA
Third-Rail Cocktail,Rum - Daiquiris,Light Rum,Apple Brandy,Brandy,Anisette,NA,NA
Bentley,Cocktail Classics,Apple Brandy,Dubonnet,NA,NA,NA,NA
Tahiti Club,Rum - Daiquiris,Light Rum,Fresh lemon juice,Fresh Lime Juice,Pineapple Juice,Maraschino liqueur,Lemon wheel
Barton Special,Cocktail Classics,Applejack,Scotch,Gin,NA,NA,NA
Barnaby's Buffalo Blizzard,Cocktail Classics,White creme de cacao,Vodka,Galliano,NA,Grenadine,Whipped cream and 3/4 oz
Susie Taylor,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Ginger ale,NA,NA,NA
Baltimore Bracer,Cocktail Classics,Anisette,Brandy,Egg White,NA,NA,NA
Bachelor's Bait Cocktail,Cocktail Classics,Gin,Egg White,Orange Bitters,Grenadine,NA,NA
Bushranger,Cocktail Classics,Light Rum,Dubonnet,Bitters,NA,NA,NA
Sunset at Gowanus,Rum - Daiquiris,Dark rum,Fresh Lime Juice,Maple Syrup,Brandy,Yellow Chartreuse,NA
Bulldog Highballl,Cocktail Classics,Juice of Orange,Gin,NA,NA,NA,NA
Bucks Fizz (Mimosa),Cocktail Classics,Orange Juice,Chilled Champagne,NA,NA,NA,NA
Buckjones,Cocktail Classics,Light Rum,Sweet Sherry,Juice of a Lime,NA,NA,NA
Stormy Colada,Rum - Daiquiris,Dark rum,Pineapple Juice,Ginger beer,NA,NA,NA
Bronx SIlver Cocktail,Cocktail Classics,Juice of Orange,Egg White,Dry Vermouth,Gin,NA,NA
Bronx Golden Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Dry Vermouth,Orange,NA,NA
Stone Wall,Rum - Daiquiris,thin Peeled fresh ginger,Demerara Syrup,Fresh apple cider,Light Rum,Jamaican ginger beer,"Green apple slice, lime wedge"
Depth Bomb,Brandy,Apple Brandy,Brandy,Fresh lemon juice,Grenadine,NA,NA
Stone Cocktail,Rum - Daiquiris,Dry Sherry,Light Rum,Sweet Vermouth,NA,NA,NA
Almeria,Cocktail Classics,17-year-old J. Wray and Nephew Ltd. Rum,Coffee-flavored liqueur,Egg White,NA,NA,NA
Aunt Jemima,Cocktail Classics,Brandy,White creme de cacao,Benedictine,NA,NA,NA
Spanish Town Cocktail,Rum - Daiquiris,Light Rum,Triple Sec,NA,NA,NA,NA
Apricot Lady,Cocktail Classics,Light Rum,Apricot-Flavored Brandy,Triple Sec,Lime Juice,Egg White,NA
Apricot Anise Collins,Cocktail Classics,Gin,Apricot-Flavored Brandy,Anisette,Lemon Juice,NA,NA
Apple Rum Rickey,Cocktail Classics,Applejack,Light Rum,Lime,NA,NA,NA
Sloppy Joe's Cocktail No. 1,Rum - Daiquiris,Light Rum,Dry Vermouth,Triple Sec,Fresh Lime Juice,Grenadine,NA
Applejack Punch,Cocktail Classics,Applejack,Grenadine,Orange Juice,NA,NA,Whole Egg
Brandy Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Brandy,Light Cream (if desired),NA,NA
Sir Walter Cocktail,Rum - Daiquiris,Light Rum,Brandy,Grenadine,Triple Sec,Fresh lemon juice,NA
Saxon Cocktail,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Grenadine,NA,NA,NA
Boston Bullet,Cocktail Classics,Gin,Dry Vermouth,NA,NA,NA,NA
Sargasso,Rum - Daiquiris,Aged rhum agricole,Dry Sherry,Aperol,Angostura Bitters,Orange twist,NA
Santiago Cocktail,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Simple Syrup,Grenadine,NA,NA
Black Velvet,Cocktail Classics,Chilled Stout,Chilled Champagne,NA,NA,NA,NA
Saint Lucy Bracer,Rum - Daiquiris,Dark rum,Butterscotch schnapps,Sweet Vermouth,Angostura Bitters,"Edible flower, such as nasturtium",NA
Applecar,Cocktail Classics,Applejack,Triple Sec,Lemon Juice,NA,NA,NA
Apple Blow Fizz,Cocktail Classics,Egg White,Juice of a Lemon,Powdered Sugar,Apple Brandy,NA,NA
Antoine Special,Cocktail Classics,Dubonnet,Dry Vermouth,NA,NA,NA,NA
Ante,Cocktail Classics,Apple Brandy,Triple Sec,Dubonnet,NA,NA,NA
S & V,Rum - Daiquiris,Light Rum,Creole Shrubb (rum-based orange liqueur),Ruby port,Fresh Lime Juice,Lime wheel,NA
Rum Toddy (Cold),Rum - Daiquiris,Light or dark rum,Water,Simple Syrup,NA,NA,Brandy
Deauville Cocktail,Brandy,Brandy,Apple Brandy,Triple Sec,Fresh lemon juice,NA,Dry Vermouth
Allies Cocktail,Cocktail Classics,Dry Vermouth,Gin,Kummel,NA,NA,NA
Rum Swizzle,Rum - Daiquiris,Light or dark rum,Fresh Lime Juice,Simple Syrup,Angostura Bitters,Soda water,NA
A. J.,Cocktail Classics,Applejack,Grapefruit Juice,NA,NA,NA,NA
After Supper Cocktail,Cocktail Classics,Apricot-Flavored Brandy,Triple Sec,Lemon Juice,NA,NA,NA
Rum Sour,Rum - Daiquiris,Light Rum,Fresh lemon juice,Simple Syrup,NA,NA,NA
Acapulco,Cocktail Classics,Light Rum,Lime Juice,Triple Sec,Sugar,Egg White,NA
Absinthe Drip Cocktail,Cocktail Classics,Anis,Sugar,NA,NA,NA,NA
Ambrosia,Cocktail Classics,Applejack,Brandy,Triple Sec,NA,Chilled Champagne,NA
Rum Screwdriver,Rum - Daiquiris,Light Rum,Orange juice,NA,NA,NA,NA
Rum Rickey,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Soda water,NA,NA,NA
Scotch Cocktail,Cocktail Classics,Old Mr. Boston Creme de Menthe (White),Desmond & Duff Scotch Whisky,NA,NA,NA,NA
Rum Relaxer,Rum - Daiquiris,Light Rum,Pineapple Juice,Grenadine,NA,"Orange wheel, maraschino cherry",NA
Rum Old-Fashioned,Rum - Daiquiris,Light Rum,151-Proof Rum,Simple Syrup,Angostura Bitters,Lemon twist,NA
Rum Martini,Rum - Daiquiris,Light Rum,Dry Vermouth,Lemon twist,NA,NA,NA
Rum Highball,Rum - Daiquiris,Light or dark rum,Ginger ale or soda water,Lemon twist,NA,NA,NA
Rum Fix,Rum - Daiquiris,Light Rum,Fresh lemon or lime juice,Simple Syrup,NA,NA,NA
Rum Daisy,Rum - Daiquiris,Light Rum,Fresh lemon juice,Simple Syrup,Grenadine,Fresh seasonal fruit,NA
D'artagnan,Brandy,Armagnac,Grand Marnier,Simple Syrup,Orange juice,Chilled Champagne,orange zest
Rum Cooler,Rum - Daiquiris,Light Rum,Simple Syrup,Soda water,NA,Orange and/or lemon zest,NA
Rum Collins,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Simple Syrup,NA,"Lemon wheel, maraschino cherry",NA
Seaboabd,Cocktail Classics,Old Mr. Boston Blended Whiskey,Old Mr. Boston Dry Gin,Lemon Juice,Powdered Sugar,NA,NA
Rum Cobbler,Rum - Daiquiris,Light Rum,Simple Syrup,Soda water,NA,NA,NA
Robson Cocktail,Rum - Daiquiris,Jamaica Rum,Fresh lemon juice,Fresh orange juice,Grenadine,NA,NA
Rio Fix,Rum - Daiquiris,Absinthe or pastis,Cachaca,Maraschino liqueur,Fresh Lime Juice,Pineapple Juice,NA
Ringo Starr,Rum - Daiquiris,Red grapes,Lemon,Fresh mint leaves,Sugar cube,African rum,NA
Restless Native,Rum - Daiquiris,Coconut rum,White creme de cacao,Fresh Lime Juice,NA,NA,Light Rum
Quarter Deck Cocktail,Rum - Daiquiris,Light Rum,Cream sherry,Fresh Lime Juice,NA,NA,NA
Quaker's Cocktail,Rum - Daiquiris,Light Rum,Brandy,Fresh lemon juice,Raspberry Syrup,NA,NA
Puerto Rican Rum Daisy,Rum - Daiquiris,Dark rum,Orange curacao,Fresh lemon juice,each Orange juice and simple syrup,Angostura Bitters,"Freshly grated nutmeg, orange wheel"
Cuban Cocktail No. 2,Brandy,Brandy,Light Rum,Apricot-Flavored Brandy,Fresh Lime Juice,NA,NA
Prohibition Punch,Rum - Daiquiris,Dark rum,Grand Marnier,Passion Fruit Juice,Cranberry Juice,Fresh lemon juice,Champagne
Prairie Oyster Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Worcestershire Sauce,Tomato Catsup,Vinegar,Pepper,"Egg Yolk, 1 oz"
Poker Cocktail,Rum - Daiquiris,Light Rum,Sweet Vermouth,NA,NA,NA,NA
Planter's Punch No. 2,Rum - Daiquiris,Light Rum,Orange juice,"each Fresh Lime Juice, jamaica rum, grenadine",Pineapple Juice,"each Fresh lemon juice, triple sec","Lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar"
Planter's Punch No. 1,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Simple Syrup,Soda water,Grenadine,"Lemon, orange, and pineapple slices; maraschino cherry"
Planter's Cocktail,Rum - Daiquiris,Jamaica Rum,Fresh lemon juice,Simple Syrup,NA,NA,NA
Pink Paradise,Rum - Daiquiris,Coconut-flavored rum,Amaretto,Cranberry Juice,Pineapple Juice,"Pineapple wedge, maraschino cherry",NA
Pink Creole,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Grenadine,half-and-half,Rum-soaked black cherry,NA
Pineapple Fizz,Rum - Daiquiris,Light Rum,Pineapple Juice,Simple Syrup,NA,NA,NA
Pineapple Cocktail,Rum - Daiquiris,Light Rum,Pineapple Juice,Fresh lemon juice,NA,NA,NA
Pearl Button,Rum - Daiquiris,Cachaca (Brazilian rum),Lillet Blanc,Fresh Lime Juice,NA,"Pineapple wedge, maraschino cherry",NA
The Crux,Brandy,Dubonnet,Triple Sec,Brandy,Fresh lemon juice,Orange twist,NA
Paris When It Sizzles,Rum - Daiquiris,Elderflower liqueur,Dark rum,Fresh Lime Juice,Angostura Bitters,Lime wedge,NA
Palmetto Cocktail,Rum - Daiquiris,Light Rum,Dry Vermouth,Angostura Bitters,NA,NA,NA
Paddington,Rum - Daiquiris,Absinthe,Light Rum,Lillet Blanc,Fresh grapefruit juice,Fresh lemon juice,"Orange marmalade, grapefruit twist"
The Old Cuban,Rum - Daiquiris,mint leaves,Simple Syrup,Fresh Lime Juice,Dark rum,Angostura Bitters,"Champagne, chopped fresh mint"
"Oh, Gosh!",Rum - Daiquiris,Light Rum,Triple Sec,Fresh Lime Juice,NA,NA,NA
Night Cap,Rum - Daiquiris,Light Rum,Simple Syrup,Warm milk,NA,NA,NA
New Orleans Buck,Rum - Daiquiris,Light Rum,Fresh orange juice,Fresh lemon juice,NA,NA,NA
Nevada Cocktail,Rum - Daiquiris,Light Rum,Grapefruit Juice,Fresh Lime Juice,Simple Syrup,Angostura Bitters,NA
Moonquake Shake,Rum - Daiquiris,Dark rum,Coffee-flavored brandy,Fresh lemon juice,NA,NA,NA
Monkey Wrench,Rum - Daiquiris,Light Rum,Grapefruit Juice,NA,NA,NA,NA
Creme De Cafe,Brandy,Coffee-flavored brandy,Light Rum,Anisette,half-and-half,NA,NA
Margarita,Cocktail Classics,Blanco tequila,Cointreau or triple sec,Fresh Lime Juice,NA,NA,NA
Mojito,Rum - Daiquiris,Lime wedges,Fresh mint leaves,Simple Syrup,Light Rum,Soda water,Fresh mint sprig
Champagne Flamingo,Vodka,Vodka,Campari,Chilled Champagne,NA,NA,NA
Thunder and Lightning Cocktail,Cocktail Classics,Egg Yolk,Powdered Sugar,Old Mr. Boston Five Star Brandy,NA,NA,NA
Casco Bay Lemonade,Vodka,Citrus-flavored vodka,Simple Syrup,Fresh lemon juice,Cranberry Juice,Lemon-lime soda,Lemon wheel
Caribbean Cruise,Vodka,Vodka,Light Rum,Coconut-flavored rum,Grenadine,Pineapple Juice,"Pineapple wedge, maraschino cherry"
Cappuccino Cocktail,Vodka,Vodka,Coffee-flavored brandy,half-and-half,Vodka,Cranberry Juice,Lime wedge
Cape Codder,Tequila,Vodka,Cranberry Juice,Lime wedge,Old Mr. Boston Anisette,Old Mr. Boston Five Star Brandy,Egg White
Baltimore Bracer Cocktail,Cocktail Classics,Old Mr. Boston Anisette,Old Mr. Boston Five Star Brandy,Egg White,NA,NA,NA
Caesar,Vodka,"Lemon wedge, celery salt",Vodka,Tomato-clam juice,Prepared horseradish,"each Worcestershire Sauce, salt, ground black pepper","Celery stalk, lemon wedge"
Bull Shot,Vodka,Vodka,Cold beef bouillon,Worcestershire Sauce,Salt,Freshly ground black pepper,NA
Bullfrog,Vodka,Vodka,Lemonade,Lime wheel,NA,NA,NA
Boston Gold,Vodka,Vodka,Creme de banana,Fresh orange juice,NA,NA,NA
Corpse Reviver No. 1,Brandy,Cognac,"Calvados, apple brandy, or applejack",Sweet Vermouth,NA,NA,NA
Thanksgiving Special Cocktail,Cocktail Classics,Old Mr. Boston Apricot Flavored Brandy,Old Mr. Boston Dry Gin,Dry Vermouth,Lemon Juice,NA,NA
Tequini Cocktail,Cocktail Classics,Old Mr. Boston Tequila,Dry Vermouth,Bitters,NA,NA,NA
Bordeaux Cocktail,Vodka,Citrus-flavored vodka,Lillet Blanc,Lemon twist,NA,NA,NA
Bolshoi Punch,Vodka,Vodka,Fresh lemon juice,Simple Syrup,Light Rum,Creme de Cassis,NA
Blue Lagoon,Vodka,Vodka,Blue curacao,Fresh lemon juice,Simple Syrup,Maraschino cherry,NA
Stinger Cocktail,Cocktail Classics,Old Mr. Boston White Creme de Menthe,Old Mr. Boston Five Star Brandy,NA,NA,NA,NA
Bloody Mary,Vodka,Vodka,Tomato Juice,Fresh Lime Juice,Worcestershire Sauce,hot red pepper sauce,"Freshly ground black pepper to taste, lime wedge, celery stalk"
Spritzer Highball,Cocktail Classics,chilled Rhine wine or Sauterne,carbonated water,NA,NA,NA,NA
Bloody Bull,Vodka,Vodka,Tomato Juice,Cold beef bouillon,NA,NA,NA
The Blood Orange,Vodka,Orange-flavored vodka,Campari,Blood or navel orange half-wheel,NA,NA,NA
Black Russian,Vodka,Vodka,Coffee liqueur,NA,NA,NA,NA
Black Magic,Vodka,Vodka,Coffee liqueur,Fresh lemon juice,NA,NA,NA
Black Cherry Chocolate,Vodka,Black cherry-flavored vodka,White chocolate liqueur,Black cherry juice,NA,NA,NA
Victor Collins,Cocktail Classics,Old Mr. Boston Vodka,Unsweetened Grape Juice,Lemon Juice,Powdered Sugar,NA,NA
Snowball Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Old Mr. Boston Anisette,Sweet Cream,NA,NA,NA
Violet Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Old Mr. Boston Dry Gin,Creme Yvette,NA,NA
Bikini,Vodka,Vodka,Light Rum,Fresh lemon juice,Milk,Simple Syrup,Lemon twist
Cold Deck Cocktail,Brandy,Brandy,Sweet Vermouth,White creme de menthe,NA,NA,NA
The Big Crush,Vodka,Raspberry-flavored vodka,Triple Sec,Raspberry-flavored liqueur,Fresh Lime Juice,Chilled Champagne,Fresh blackberries and raspberries
Bianca,Vodka,"Lime wedge, superfine sugar",Citrus-flavored vodka,Pomegranate juice,Fresh Lime Juice,Simple Syrup,"Fresh lemon juice, lemon twiste, fresh pomegranate seeds"
Bella Fragolia,Vodka,"Strawberry, chopped",Fresh basil leaves,Vodka,Fresh lemon juice,Simple Syrup,"Soda water, strawberry slide, fresh basil leaf"
Beer Buster,Vodka,Vodka,Chilled beer or ale,Hot red pepper sauce,NA,NA,NA
Basil 8,Vodka,Fresh basil leaves,White grapes,Vodka,Fresh Lime Juice,"each Simple Syrup, angostura bitters",Ginger ale
Shamrock Cocktail,Cocktail Classics,Irish Whiskey,Dry Vermouth,Old Mr. Boston Green Creme de Menthe,NA,NA,NA
Aqueduct,Vodka,Vodka,Fresh Lime Juice,White curacao or triple sec,Apricot-Flavored Brandy,Orange twist,NA
Scotch Whisky Highball,Cocktail Classics,Desmond & Duff Scotch Whisky,ginger ale,lemon twist,NA,NA,NA
Alfie Cocktail,Vodka,lemon-flavored vodka,Pineapple Juice,Triple Sec,NA,NA,NA
Admiral Perry,Vodka,Pear-flavored vodka,Cinnamon schnapps,Dry Vermouth,White creme de cacao,Thin pear slice,NA
Yellow Rose Of Texas,Tequila,Blanco tequila,Fresh lemon juice,Simple Syrup,Yellow Chartreuse,Rose water,NA
St. Patrick's Day Cocktail,Cocktail Classics,Old Mr. Boston Green Creme de Menthe,Green Chartreuse,Irish Whiskey,Bitters,NA,NA
Purple Twister,Cocktail Classics,Old Mr. Boston Grape Vodka,cola,lemon slice,NA,NA,NA
Waiting On Summer,Tequila,Cucumber,Fresh sage leaves,Fresh Lime Juice,Blanco tequila,Simple Syrup,"Ginger ale, strawberry slice"
Cognac Highball,Brandy,Cognac,Ginger ale or soda water,Lemon twist (optional),NA,NA,NA
Prince's Smile Cocktail,Cocktail Classics,Old Mr. Boston Apricot Flavored Brandy,Apple Brandy,Old Mr. Boston Dry Gin,Lemon Juice,NA,NA
Viva Villa,Tequila,"Lime wedge, coarse salt",Blanco tequila,Fresh Lime Juice,Simple Syrup,NA,NA
Praire Oyster Cocktail,Cordials and Liqueurs,Old Mr. Boston Five Star Brandy,Worcestershire Sauce,Tomato Catsup,Vinegar,Pepper,NA
Praire Chicken,Cocktail Classics,Old Mr. Boston Dry Gin,Whole Egg,Pepper and Salt,NA,NA,NA
Venial Sin,Tequila,Blanco tequila,Mezcal,Yellow Chartreuse,Elderflower liqueur,Maraschino liqueur,NA
Vagabundo,Tequila,Reposado blanco tequila,Pineapple Juice,Fresh celery juice,Fresh Lime Juice,Lime wheel,NA
The 21st Century,Tequila,Absinthe,Absinthe,Blanco tequila,Fresh Lime Juice,White creme de cacao,NA
Pollyanna Cocktail,Cocktail Classics,orange peel,pineapple,Old Mr. Boston Dry Gin,sweet vermouth,NA,NA
Toreador,Tequila,Blanco tequila,Dark creme de cacao,half-and-half,NA,NA,NA
Pink Squirrel Cocktail,Cocktail Classics,Mr. Boston Creme de Noyaux,Old Mr. Boston White Creme de Cacao,Light Sweet Cream,NA,NA,NA
Pink Lady Cocktail,Cocktail Classics,Egg White,Grenadine,Sweet Cream,Old Mr. Boston Dry Gin,NA,NA
Tijuana Taxi,Tequila,Gold tequila,Blue curacao,Tropical fruit schnapps,NA,"Orange wheel, maraschino cherry",NA
Tia Juanathan,Tequila,Blanco tequila,Fresh Lime Juice,Aperol,Yellow Chartreuse,Soda water,Orange half-wheel
Phoebe Snow Cocktail,Cocktail Classics,Dubonnet,Old Mr. Boston Five Star Brandy,Absinthe Substitute,NA,NA,NA
Tequonic,Tequila,Blanco tequila,Fresh lemon or lime juice,Tonic water,NA,NA,NA
Tequini,Tequila,Blanco tequila,Dry Vermouth,Angostura bitters,NA,NA,NA
Passion Daiquiri Cocktail,Cocktail Classics,Old Mr. Boston Rum,Juice of a Lime,Powdered Sugar,Passion Fruit Juice,NA,NA
Parisian Blonde Cocktail,Cocktail Classics,Sweet Cream,Old Mr. Boston Triple Sec,Jamaica Rum,NA,NA,NA
